"scientific_name","hwi","mass","diet","migration"
"Anthracoceros coronatus",17,806.7,"Frugivore",1
"Ocyceros birostris",21.4,375,"Frugivore",1
"Ocyceros griseus",16.6,292,"Frugivore",1
"Chalcophaps indica",28.7,136.5,"Omnivore",1
"Columba elphinstonii",33.8,379,"Frugivore",1
"Columba livia",45.1,354.2,"Granivore",1
"Ducula aenea",30.4,545,"Frugivore",1
"Spilopelia chinensis",31,159,"Granivore",1
"Streptopelia decaocto",36.1,149,"Omnivore",1
"Spilopelia senegalensis",34.2,82.1,"Granivore",1
"Treron affinis",35.6,234,"Frugivore",1
"Treron phoenicopterus",39.5,235,"Frugivore",1
"Coracias benghalensis",29,157.5,"Omnivore",2
"Merops leschenaulti",41.4,27.2,"Invertivore",1
"Merops orientalis",34.8,14.8,"Invertivore",1
"Nyctyornis athertoni",25.2,84.2,"Invertivore",1
"Cacomantis passerinus",32.9,25.3,"Invertivore",1
"Cacomantis sonneratii",33.3,33.8,"Invertivore",1
"Centropus bengalensis",18.6,148.9,"Invertivore",1
"Centropus sinensis",14.6,280.7,"Vertivore",1
"Cuculus micropterus",45.1,88.8,"Invertivore",1
"Eudynamys scolopaceus",31.4,194.9,"Frugivore",2
"Hierococcyx varius",35,103,"Invertivore",1
"Phaenicophaeus viridirostris",15.4,67,"Invertivore",1
"Surniculus dicruroides",34.6,29.7,"Invertivore",1
"Taccocua leschenaultii",11.2,174.7,"Invertivore",1
"Acrocephalus stentoreus",22.6,24.2,"Invertivore",2
"Aegithina nigrolutea",12.4,11.8,"Invertivore",1
"Aegithina tiphia",10,12,"Invertivore",1
"Alauda gulgula",27.5,26.3,"Omnivore",2
"Ammomanes phoenicura",28,25.6,"Omnivore",2
"Eremopterix griseus",29.5,16,"Granivore",2
"Galerida malabarica",29.2,38.2,"Omnivore",1
"Mirafra affinis",18.4,26.2,"Omnivore",2
"Artamus fuscus",48.4,39.8,"Invertivore",1
"Coracina macei",31,105,"Invertivore",1
"Lalage melanoptera",27,29.4,"Invertivore",1
"Pericrocotus cinnamomeus",25.9,8.6,"Invertivore",2
"Pericrocotus flammeus",27.2,23.3,"Invertivore",1
"Chloropsis aurifrons",20,32.3,"Omnivore",1
"Chloropsis jerdoni",15.4,24.5,"Omnivore",1
"Cisticola exilis",16.4,7,"Invertivore",1
"Orthotomus sutorius",10.4,7.5,"Invertivore",1
"Prinia hodgsonii",10.7,6.4,"Invertivore",1
"Prinia inornata",14.2,7,"Invertivore",1
"Prinia socialis",10.3,8,"Invertivore",1
"Prinia sylvatica",10.4,16.1,"Invertivore",1
"Corvus macrorhynchos",34.8,513.1,"Omnivore",1
"Corvus splendens",36.3,292.6,"Omnivore",1
"Dendrocitta leucogastra",13.5,99.2,"Omnivore",1
"Dendrocitta vagabunda",15,100,"Omnivore",1
"Dicaeum agile",25.1,9,"Frugivore",1
"Dicaeum concolor",20.3,6.2,"Omnivore",1
"Dicaeum erythrorhynchos",21,6.3,"Frugivore",1
"Dicrurus aeneus",29.4,26,"Invertivore",1
"Dicrurus caerulescens",27,40,"Invertivore",1
"Dicrurus hottentottus",23.3,79.2,"Invertivore",1
"Dicrurus leucophaeus",31.5,37.6,"Invertivore",1
"Dicrurus macrocercus",27.8,48.3,"Invertivore",1
"Dicrurus paradiseus",21.8,85.8,"Invertivore",1
"Emberiza lathami",17.5,21.9,"Granivore",2
"Amandava amandava",13.5,9,"Granivore",1
"Euodice malabarica",23.2,12,"Granivore",1
"Lonchura kelaarti",24,14.1,"Granivore",1
"Lonchura malacca",24.4,12.6,"Granivore",1
"Lonchura punctulata",22,13.6,"Granivore",1
"Lonchura striata",20.9,12.3,"Granivore",1
"Irena puella",25.3,64.9,"Frugivore",1
