"locality_id","latitude","longitude"
"L3096787",9.5917792,77.1682262
"L3084680",9.6522425,77.1550727
"L3789514",10.1299765,76.6880089
"L2726505",10.1273569,76.7545867
"L3096066",9.0773489,77.1835899
"L9372184",10.5226883,76.6708472
"L13990080",15.292,74.5209
"L13141263",15.4478494,74.4908139
"L2723145",10.5507022,76.2857017
"L21670685",12.2648208,75.4651116
"L23482172",11.5687731,77.0073587
"L2745494",10.5492624,76.2848568
"L3110419",10.053797,77.0731902
"L7426278",12.522507,75.739645
"L21062631",12.4469631,75.6668519
"L18443762",12.524473,75.7161923
"L18390061",11.9943883,76.0701952
"L2804745",18.3759692,73.7688533
"L5584659",11.0571364,76.8492264
"L4923884",15.0096551,74.3864921
"L8919869",15.2920039,74.5208591
"L8919935",15.2921132,74.5208245
"L12805758",15.7958218,73.9567619
"L12805812",15.7972556,74.0989605
"L8929793",15.7220158,73.9789778
"L10173799",15.6093808,74.0646418
"L3147074",10.31333,76.91172
"L2504934",10.3290717,76.9537354
"L7526403",10.3303404,76.9603453
"L2505524",10.9701261,76.9286299
"L10226290",15.4387049,74.2515046
"L22404907",12.9344689,75.6517507
"L1944806",10.36277,76.98077
"L3158155",10.291142,76.503768
"L3158171",10.2907499,76.5180534
"L3158174",10.3018184,76.6350031
"L2605678",10.303435,76.780572
"L9144786",10.8569419,76.725705
"L3088838",10.9853196,76.9521689
"L21678671",12.673131,75.729511
"L3170951",10.067521,77.107217
"L3171099",10.268957,76.81443
"L3171085",10.198184,76.662222
"L22557351",9.812735,77.244461
"L22579097",9.814275,77.24501
"L3146555",10.3303548,76.9602907
"L4291389",12.1259985,76.0564184
"L10041266",12.1639464,75.8196004
"L3848522",12.2279525,75.7465053
"L2757757",12.3827607,75.5290747
"L3151595",10.325229,77.0248246
"L4020118",10.0591213,77.0692205
"L5053262",10.0359,77.137
"L3193118",11.0461398,76.8520153
"L17247652",13.549077,75.4253794
"L17247693",13.5489431,75.4263573
"L13260929",11.3368272,76.8642354
"L3168337",10.514767,76.3849182
"L3778888",10.3133303,76.9117212
"L3199083",11.7655341,77.0643818
"L3198925",11.9429592,76.9638634
"L3199008",11.8659551,76.9532847
"L3215152",11.5134788,77.1167305
"L8289411",13.1296318,75.5797083
"L22091731",18.4501428,73.9248572
"L3221345",18.97198,73.53003
"L3221329",18.85481,73.66986
"L3221346",18.9710193,73.5612921
"L3198473",10.3515122,76.9375992
"L3143365",15.6654988,74.1705787
"L16681536",11.4319819,76.6984313
"L12858797",17.7463469,73.9895407
"L3222869",11.876649,76.14858
"L3221404",11.876636,76.09539
"L3456399",10.3056881,76.9642496
"L3205260",10.0596783,77.065047
"L2505459",10.143094,77.03995
"L3244910",10.3577602,76.9343805
"L13992741",16.570426,73.8957613
"L3242734",11.4042531,76.697005
"L2452899",12.6812576,75.7237923
"L21084253",12.6646544,75.7714784
"L27020724",12.6191486,75.8780193
"L7669700",12.9129716,75.6692567
"L4187687",12.918986,75.6600352
"L3244899",10.3461163,76.9854793
"L3247311",10.341089,76.9035834
"L5208027",11.353742,76.1080027
"L2599581",11.3382157,76.1111569
"L3198950",10.3236485,76.9392246
