scientific_name,precip_mean,precip_lq,precip_med,precip_hq,precip_breadth,temp_mean,temp_lq,temp_med,temp_hq,temp_breadth,wind_mean,wind_lq,wind_med,wind_hq,wind_breadth
Chloropsis_jerdoni,169.84,0.38,90.22,867.11,866.73,25,20.65,25.05,29.65,9,2.75,0.87,2.56,5.7,4.83
Dendrocitta_leucogastra,214.73,2.08,167.06,813.81,811.73,23.53,19.65,23.15,28.45,8.8,2.66,0.84,2.36,6.03,5.19
Dendrocitta_vagabunda,185.29,0.53,105.21,874.06,873.53,25.42,20.65,25.75,29.65,9,2.53,0.86,2.31,5.68,4.82
Dicrurus_aeneus,213.76,0.89,134.01,953.77,952.88,24.8,20.25,25.15,29.35,9.1,2.26,0.8,2.06,4.94,4.13
Dicrurus_leucophaeus,215.4,0.22,119.87,1081.17,1080.95,23.6,17.55,23.45,28.85,11.3,2.43,0.83,2.2,5.52,4.69
Dicrurus_paradiseus,224.93,1.1,154.26,961.45,960.35,24.51,20.15,24.75,28.95,8.8,2.28,0.82,2.04,5.2,4.39
Dinopium_benghalense,188.54,0.74,111.3,864.52,863.78,24.89,20.15,25.25,29.65,9.5,2.47,0.85,2.24,5.57,4.72
Gracula_indica,208.3,1.51,157.42,793.88,792.37,23.44,18.45,23.05,28.55,10.1,2.35,0.8,2.11,5.46,4.67
Hemicircus_canente,240.18,0.74,155.84,1086.09,1085.35,24.71,20.25,25.05,28.85,8.6,2.15,0.76,1.92,4.92,4.16
Psilopogon_malabaricus,220.66,0.96,155.88,936.15,935.19,23.11,19.55,22.65,27.95,8.4,2.32,0.83,2.1,5.18,4.35
Psilopogon_viridis,205.97,1.01,138.87,863.18,862.17,23.43,16.75,23.25,28.75,12,2.51,0.86,2.27,5.64,4.77
Psittacula_columboides,193.49,1.03,128.56,834.06,833.03,23.64,19.15,23.45,28.45,9.3,2.52,0.81,2.3,5.6,4.79
Sitta_frontalis,194.13,1.15,138.79,760.28,759.13,21.94,14.25,22.15,27.75,13.5,2.54,0.88,2.31,5.58,4.7
Spilopelia_chinensis,179.69,0.31,103.11,833.09,832.78,23.39,15.85,23.25,29.25,13.4,2.6,0.91,2.41,5.56,4.65
Yungipicus_nanus,179.99,0.76,108.89,800.97,800.21,24.43,19.45,24.45,29.45,10,2.45,0.82,2.28,5.24,4.43
Copsychus_saularis,194.54,0.23,111.88,904.96,904.73,23.75,17.75,23.65,29.05,11.3,2.41,0.88,2.22,5.17,4.3
Corvus_macrorhynchos,188.9,0.37,110.5,847.45,847.08,23.4,14.65,23.75,29.05,14.4,2.56,0.89,2.33,5.65,4.76
Corvus_splendens,168.94,0.18,87.38,845.32,845.14,24.81,15.25,25.55,29.85,14.6,2.62,0.9,2.37,5.8,4.9
Cyornis_pallidipes,233.95,0.24,138.71,1110.11,1109.87,23.78,17.75,23.75,28.45,10.7,2.24,0.81,1.97,5.31,4.5
Hypothymis_azurea,217.05,0.14,110.22,1104.28,1104.14,24.29,19.75,24.25,28.95,9.2,2.33,0.85,2.12,4.94,4.09
Picus_chlorolophus,211.91,0.92,130.77,972.7,971.78,24.56,19.05,24.95,29.25,10.2,2.41,0.8,2.19,5.36,4.57
Argya_striata,200.26,0.22,115.78,983.63,983.41,24.4,16.35,25.15,29.15,12.8,2.5,0.88,2.27,5.56,4.68
Chalcophaps_indica,212.85,0.63,138.19,939.7,939.07,23.81,17.25,24.05,28.95,11.7,2.43,0.83,2.17,5.58,4.75
Dinopium_javanense,206.57,1.32,146.46,844.93,843.61,23.06,19.15,22.65,28.15,9,2.42,0.84,2.17,5.34,4.5
Myophonus_horsfieldii,226.97,1.31,176.91,840.44,839.13,22.57,17.55,22.15,28.05,10.5,2.36,0.81,2.06,5.7,4.89
Pericrocotus_flammeus,216.17,0.98,143.63,934.93,933.95,23.42,18.15,23.15,28.35,10.2,2.37,0.81,2.15,5.29,4.48
Pycnonotus_jocosus,200.74,0.4,122.95,919.41,919.01,22.8,15.05,22.75,28.45,13.4,2.56,0.89,2.33,5.62,4.73
Dicaeum_erythrorhynchos,163.09,0.4,91.9,739.46,739.06,25.31,20.45,25.55,29.75,9.3,2.73,0.88,2.53,5.83,4.95
