common_name,scientific_name,migrant,s_lci,s_med,s_uci,m_lci,m_med,m_uci,w_lci,w_med,w_uci,s_m_mig,m_w_mig,w_s_mig,hwi,mass,diet,precip_mean,precip_lq,precip_med,precip_hq,precip_breadth,temp_mean,temp_lq,temp_med,temp_hq,temp_breadth,wind_mean,wind_lq,wind_med,wind_hq,wind_breadth,s_mig,m_mig,w_mig,s_migrant,m_migrant,w_migrant,m_dist_abs,w_dist_abs,s_dist_abs
Rock Pigeon,Columba_livia,non-migrant,477.97,503.31,534.08,478.67,492.27,526.14,512.56,527.54,574.69,-11.04,35.27,-24.23,45.1,354.2,Granivore,169.74,0.07,77.25,939.15,939.08,24.21,14.45,25.05,29.65,15.2,2.74,0.97,2.5,5.85,4.88,0,0,0,0,0,0,11.04,35.27,24.23
Nilgiri Wood-Pigeon,Columba_elphinstonii,migrant,1559.52,1576.21,1691.19,1553.18,1701.335,1814.7,1466.765,1526.97,1559.43,125.125,-174.365,49.24,33.8,379,Frugivore,183.42,0.38,118.44,897.1,896.72,18.87,11.85,18.65,26.95,15.1,3.1,1.25,2.91,6.32,5.06,49.24,0,0,1,0,0,125.125,174.365,49.24
Eurasian Collared-Dove,Streptopelia_decaocto,migrant,385.32,406.62,408.88,413.94,424.62,475.1,424.62,424.62,470.04,18,0,-18,36.1,149,Omnivore,75.73,0.19,46.72,298.63,298.44,25.68,20.95,25.65,30.45,9.5,3.31,1.08,2.99,7.25,6.17,-18,18,0,1,1,0,18,0,18
Spotted Dove,Spilopelia_chinensis,migrant,908.835,927.99,941.25,839.65,848.97,848.97,764.17,776.88,797.9,-79.02,-72.09,151.11,31,159,Granivore,179.69,0.31,103.11,833.09,832.78,23.39,15.85,23.25,29.25,13.4,2.6,0.91,2.41,5.56,4.65,151.11,-79.02,-72.09,1,1,1,79.02,72.09,151.11
Laughing Dove,Spilopelia_senegalensis,non-migrant,620.64,640.59,663.6,617.25,635.86,645.03,617.25,619,636.67,-4.73000000000002,-16.86,21.59,34.2,82.1,Granivore,106.16,0,46.07,593.93,593.93,24.73,19.95,24.55,29.95,10,2.95,1.16,2.67,6.02,4.86,0,0,0,0,0,0,4.73000000000002,16.86,21.59
Asian Emerald Dove,Chalcophaps_indica,migrant,602.965125,658.69,731.035,412.025,494.79,560.995,622.82025,689.175,766.955,-163.9,194.385,-30.4849999999999,28.7,136.5,Omnivore,212.85,0.63,138.19,939.7,939.07,23.81,17.25,24.05,28.95,11.7,2.43,0.83,2.17,5.58,4.75,0,-163.9,194.385,0,1,1,163.9,194.385,30.4849999999999
Gray-fronted Green-Pigeon,Treron_affinis,non-migrant,590.28,670.88,747.17,588.83,640.59,711.59,589.17,609.32,648.73,-30.29,-31.27,61.56,35.6,234,Frugivore,235.75,0.45,142.79,1113.05,1112.6,24.18,19.65,24.15,28.85,9.2,2.29,0.78,2.06,5.12,4.34,0,0,0,0,0,0,30.29,31.27,61.56
Yellow-footed Green-Pigeon,Treron_phoenicopterus,non-migrant,640.59,640.59,663.581374999997,640.59,703.65,848.97,640.59,640.59,640.59,63.06,-63.06,0,39.5,235,Frugivore,163.75,0.02,67.56,1066.38,1066.36,24.32,20.15,24.15,28.85,8.7,2.82,1.05,2.64,5.56,4.51,0,0,0,0,0,0,63.06,63.06,0
Green Imperial-Pigeon,Ducula_aenea,migrant,231.955,439.28,489,425.38,460.12,527.185,69.83,94.84,157.835,20.84,-365.28,344.44,30.4,545,Frugivore,202.6,0.55,136.18,801.54,800.99,25.4,20.15,25.85,29.55,9.4,1.95,0.71,1.72,4.5,3.79,344.44,0,-365.28,1,0,1,20.84,365.28,344.44
Greater Coucal,Centropus_sinensis,migrant,640.59,641.01,675.39,573.495,589.17,612.31,589.17,605.14,619,-51.84,15.97,35.87,14.6,280.7,Vertivore,184.01,0.29,101.33,884.25,883.96,24.42,19.25,24.55,29.45,10.2,2.6,0.9,2.35,5.73,4.84,35.87,-51.84,0,1,1,0,51.84,15.97,35.87
Lesser Coucal,Centropus_bengalensis,non-migrant,918.37,933.69,988.51,149,641.62,988.51,124.32,929.73,1063.765,-292.07,288.11,3.96000000000004,18.6,148.9,Invertivore,264.77,1.81,155.46,1301.03,1299.22,23.48,18.65,22.75,29.15,10.5,2.89,1.11,2.79,5.97,4.86,0,0,0,0,0,0,292.07,288.11,3.96000000000004
Sirkeer Malkoha,Taccocua_leschenaultii,non-migrant,462.770375,643.44,747.76,570.68,617.25,699.455,474,617.25,641.12,-26.1900000000001,0,26.1900000000001,11.2,174.7,Invertivore,88.17,0.09,55.39,337.8,337.71,25.28,20.65,24.95,30.45,9.8,2.81,0.96,2.58,6,5.04,0,0,0,0,0,0,26.1900000000001,0,26.1900000000001
Blue-faced Malkoha,Phaenicophaeus_viridirostris,non-migrant,472.44,576.09,617.25,441.54,471.56,515.845,484.935,549.2,594.32,-104.53,77.6400000000001,26.89,15.4,67,Invertivore,117.41,0.48,71.68,556.96,556.48,25.52,21.45,25.45,30.25,8.8,2.87,0.93,2.68,5.78,4.85,0,0,0,0,0,0,104.53,77.6400000000001,26.89
Asian Koel,Eudynamys_scolopaceus,migrant,424.62,428.9,463.54,424.62,433.25,454.62,399.34,406.62,409.425,4.35000000000002,-26.63,22.28,31.4,194.9,Frugivore,151.2,0.08,71.42,836.36,836.28,25.43,20.45,25.65,29.95,9.5,2.82,1.01,2.56,6.02,5.01,22.28,0,-26.63,1,0,1,4.35000000000002,26.63,22.28
Banded Bay Cuckoo,Cacomantis_sonneratii,migrant,168.71,306,525.435,109.46,116.62,136.88,121.427125,133.71,160.53,-189.38,17.09,172.29,33.3,33.8,Invertivore,193.97,0.47,110.47,943.79,943.32,25.46,20.45,25.85,30.05,9.6,2.58,0.78,2.45,5.43,4.65,172.29,-189.38,0,1,1,0,189.38,17.09,172.29
Gray-bellied Cuckoo,Cacomantis_passerinus,non-migrant,637.72,681.11,749.63,640.59,643.11,712.91,508.815,631.95,640.59,-38,-11.16,49.16,32.9,25.3,Invertivore,151.8,0.02,71.52,833.61,833.59,24.44,19.75,24.35,29.65,9.9,2.75,0.99,2.52,5.6,4.61,0,0,0,0,0,0,38,11.16,49.16
Fork-tailed Drongo-Cuckoo,Surniculus_dicruroides,non-migrant,148.61,589.17,763.92,135.355,383.875,625.45,122.18,169.12,375.38,-205.295,-214.755,420.05,34.6,29.7,Invertivore,227.92,0.24,141,1056.71,1056.47,25.1,20.55,25.55,29.25,8.7,2.06,0.77,1.85,4.78,4,0,0,0,0,0,0,205.295,214.755,420.05
Common Hawk-Cuckoo,Hierococcyx_varius,non-migrant,463.76,471.56,523.5,399.06,433.74,463.76,463.76,484.955,537.465,-37.82,51.215,-13.395,35,103,Invertivore,169.62,0.48,103.85,763.99,763.51,25.01,20.25,25.25,29.65,9.4,2.64,0.9,2.44,5.66,4.75,0,0,0,0,0,0,37.82,51.215,13.395
Indian Cuckoo,Cuculus_micropterus,migrant,206.16,463.76,567,390.23,592.74,592.74,94.675,112.76,176.245,128.98,-479.98,351,45.1,88.8,Invertivore,173.5,0.4,103.56,764.07,763.67,25.32,20.25,25.65,29.85,9.6,2.51,0.91,2.35,5.03,4.12,351,0,-479.98,1,0,1,128.98,479.98,351
Malabar Trogon,Harpactes_fasciatus,non-migrant,344.005,542.365,622.53,382.22,447.325,505.265,415.89,495.015,571.95,-95.04,47.69,47.35,38.4,62,Invertivore,238.73,0.8,153.4,1107.68,1106.88,24.57,19.75,24.95,28.95,9.2,2.3,0.77,2.01,5.53,4.76,0,0,0,0,0,0,95.04,47.69,47.35
Indian Gray Hornbill,Ocyceros_birostris,non-migrant,526.14,587.53,589.17,537.94,586.82,588.71,405.69,521.81,577,-0.709999999999923,-65.0100000000001,65.72,21.4,375,Frugivore,132.55,0,52.72,749.79,749.79,25.43,20.55,25.55,30.35,9.8,2.93,1.15,2.66,5.85,4.7,0,0,0,0,0,0,0.709999999999923,65.0100000000001,65.72
Malabar Gray Hornbill,Ocyceros_griseus,migrant,685.745,745.19,762.62,693.54,736.18,765.66,600.69,644.55,689.03,-9.0100000000001,-91.63,100.64,16.6,292,Frugivore,231.37,0.83,153.67,1042.85,1042.02,24.17,20.05,24.05,28.65,8.6,2.29,0.83,2.05,5.08,4.25,0,0,-91.63,0,0,1,9.0100000000001,91.63,100.64
Malabar Pied-Hornbill,Anthracoceros_coronatus,non-migrant,129.88,180.21,288.63,82.88,122.2,176.11,107.91,129.88,176.11,-58.01,7.67999999999999,50.33,17,806.7,Frugivore,259.6,0.02,83.88,1384.31,1384.29,25.68,21.95,25.85,29.05,7.1,2.23,1.02,2.08,4.25,3.23,0,0,0,0,0,0,58.01,7.67999999999999,50.33
Blue-bearded Bee-eater,Nyctyornis_athertoni,migrant,768.24,874.235,917.82,524.26,606.38,647.11,593.23,640.59,640.59,-267.855,34.21,233.645,25.2,84.2,Invertivore,152.83,0.41,84.76,764.39,763.98,24.21,18.15,24.25,29.35,11.2,2.67,0.88,2.48,5.67,4.79,233.645,-267.855,0,1,1,0,267.855,34.21,233.645
Asian Green Bee-eater,Merops_orientalis,non-migrant,540.17,580.18,589.17,526.14,539.425,577,536.2,564.03,577,-40.755,24.605,16.15,34.8,14.8,Invertivore,164.59,0.04,70.21,997.45,997.41,25.04,20.35,25.15,29.75,9.4,2.81,1.01,2.58,5.83,4.81,0,0,0,0,0,0,40.755,24.605,16.15
Chestnut-headed Bee-eater,Merops_leschenaulti,migrant,950.94,1008.14,1017,554.24,600,711.59,808.29,822.77,846.5,-408.14,222.77,185.37,41.4,27.2,Invertivore,208.01,1.37,153.49,795.31,793.94,23.37,18.25,22.95,28.95,10.7,2.29,0.81,2.04,5.26,4.45,185.37,-408.14,222.77,1,1,1,408.14,222.77,185.37
