common_name,scientific_name,migrant,s_lci,s_med,s_uci,m_lci,m_med,m_uci,w_lci,w_med,w_uci,s_m_mig,m_w_mig,w_s_mig,hwi,mass,diet
Rock Pigeon,Columba_livia,non-migrant,477.97,503.31,534.08,478.67,492.27,526.14,512.56,527.54,574.69,-11.04,35.27,-24.23,45.1,354.2,Granivore
Nilgiri Wood-Pigeon,Columba_elphinstonii,migrant,1559.52,1576.21,1691.19,1553.18,1701.335,1814.7,1466.765,1526.97,1559.43,125.125,-174.365,49.24,33.8,379,Frugivore
Eurasian Collared-Dove,Streptopelia_decaocto,migrant,385.32,406.62,408.88,413.94,424.62,475.1,424.62,424.62,470.04,18,0,-18,36.1,149,Omnivore
Spotted Dove,Spilopelia_chinensis,migrant,908.835,927.99,941.25,839.65,848.97,848.97,764.17,776.88,797.9,-79.02,-72.09,151.11,31,159,Granivore
Laughing Dove,Spilopelia_senegalensis,non-migrant,620.64,640.59,663.6,617.25,635.86,645.03,617.25,619,636.67,-4.73000000000002,-16.86,21.59,34.2,82.1,Granivore
Asian Emerald Dove,Chalcophaps_indica,migrant,602.965125,658.69,731.035,412.025,494.79,560.995,622.82025,689.175,766.955,-163.9,194.385,-30.4849999999999,28.7,136.5,Omnivore
Gray-fronted Green-Pigeon,Treron_affinis,non-migrant,590.28,670.88,747.17,588.83,640.59,711.59,589.17,609.32,648.73,-30.29,-31.27,61.56,35.6,234,Frugivore
Yellow-footed Green-Pigeon,Treron_phoenicopterus,non-migrant,640.59,640.59,663.581374999997,640.59,703.65,848.97,640.59,640.59,640.59,63.06,-63.06,0,39.5,235,Frugivore
Green Imperial-Pigeon,Ducula_aenea,migrant,231.955,439.28,489,425.38,460.12,527.185,69.83,94.84,157.835,20.84,-365.28,344.44,30.4,545,Frugivore
Greater Coucal,Centropus_sinensis,migrant,640.59,641.01,675.39,573.495,589.17,612.31,589.17,605.14,619,-51.84,15.97,35.87,14.6,280.7,Vertivore
Lesser Coucal,Centropus_bengalensis,non-migrant,918.37,933.69,988.51,149,641.62,988.51,124.32,929.73,1063.765,-292.07,288.11,3.96000000000004,18.6,148.9,Invertivore
Sirkeer Malkoha,Taccocua_leschenaultii,non-migrant,462.770375,643.44,747.76,570.68,617.25,699.455,474,617.25,641.12,-26.1900000000001,0,26.1900000000001,11.2,174.7,Invertivore
Blue-faced Malkoha,Phaenicophaeus_viridirostris,non-migrant,472.44,576.09,617.25,441.54,471.56,515.845,484.935,549.2,594.32,-104.53,77.6400000000001,26.89,15.4,67,Invertivore
Asian Koel,Eudynamys_scolopaceus,migrant,424.62,428.9,463.54,424.62,433.25,454.62,399.34,406.62,409.425,4.35000000000002,-26.63,22.28,31.4,194.9,Frugivore
Banded Bay Cuckoo,Cacomantis_sonneratii,migrant,168.71,306,525.435,109.46,116.62,136.88,121.427125,133.71,160.53,-189.38,17.09,172.29,33.3,33.8,Invertivore
Gray-bellied Cuckoo,Cacomantis_passerinus,non-migrant,637.72,681.11,749.63,640.59,643.11,712.91,508.815,631.95,640.59,-38,-11.16,49.16,32.9,25.3,Invertivore
Fork-tailed Drongo-Cuckoo,Surniculus_dicruroides,non-migrant,148.61,589.17,763.92,135.355,383.875,625.45,122.18,169.12,375.38,-205.295,-214.755,420.05,34.6,29.7,Invertivore
Common Hawk-Cuckoo,Hierococcyx_varius,non-migrant,463.76,471.56,523.5,399.06,433.74,463.76,463.76,484.955,537.465,-37.82,51.215,-13.395,35,103,Invertivore
Indian Cuckoo,Cuculus_micropterus,migrant,206.16,463.76,567,390.23,592.74,592.74,94.675,112.76,176.245,128.98,-479.98,351,45.1,88.8,Invertivore
Malabar Trogon,Harpactes_fasciatus,non-migrant,344.005,542.365,622.53,382.22,447.325,505.265,415.89,495.015,571.95,-95.04,47.6899999999999,47.35,38.4,62,Invertivore
Indian Gray Hornbill,Ocyceros_birostris,non-migrant,526.14,587.53,589.17,537.94,586.82,588.71,405.69,521.81,577,-0.710000000000036,-65.01,65.72,21.4,375,Frugivore
Malabar Gray Hornbill,Ocyceros_griseus,migrant,685.745,745.19,762.62,693.54,736.18,765.66,600.69,644.55,689.03,-9.0100000000001,-91.63,100.64,16.6,292,Frugivore
Malabar Pied-Hornbill,Anthracoceros_coronatus,non-migrant,129.88,180.21,288.63,82.88,122.2,176.11,107.91,129.88,176.11,-58.01,7.67999999999999,50.33,17,806.7,Frugivore
Blue-bearded Bee-eater,Nyctyornis_athertoni,migrant,768.24,874.235,917.82,524.26,606.38,647.11,593.23,640.59,640.59,-267.855,34.21,233.645,25.2,84.2,Invertivore
Asian Green Bee-eater,Merops_orientalis,non-migrant,540.17,580.18,589.17,526.14,539.425,577,536.2,564.03,577,-40.755,24.605,16.15,34.8,14.8,Invertivore
Chestnut-headed Bee-eater,Merops_leschenaulti,migrant,950.94,1008.14,1017,554.24,600,711.59,808.29,822.77,846.5,-408.14,222.77,185.37,41.4,27.2,Invertivore
Indian Roller,Coracias_benghalensis,migrant,427.485,437.21,469.315,407.12,413.94,424.62,408.41,420.78,424.62,-23.27,6.83999999999998,16.43,29,157.5,Omnivore
Malabar Barbet,Psilopogon_malabaricus,migrant,876.03,895.25,907.45,861.86,870.56,873.79,856.88,861.62,869.65,-24.6900000000001,-8.93999999999994,33.63,29,37.6,Frugivore
Coppersmith Barbet,Psilopogon_haemacephalus,migrant,619.465,640.59,640.59,588.71,609.37,617.25,570.03,587.48,589.17,-31.22,-21.89,53.11,25.1,44.5,Frugivore
Brown-headed Barbet,Psilopogon_zeylanicus,migrant,463.76,463.76,471.56,457.27,463.76,471.56,347.6,399.905,449.485,0,-63.855,63.855,18,119,Frugivore
White-cheeked Barbet,Psilopogon_viridis,migrant,851.89,860.6,872.21,767.88,786.09,808.29,808.29,808.29,814.65,-74.51,22.1999999999999,52.3100000000001,20.7,80.5,Frugivore
Speckled Piculet,Picumnus_innominatus,non-migrant,811.575,868.2,984.446749999995,767.55,882.56,1017,834.57,931.06,1024.09,14.3599999999999,48.5,-62.8599999999999,10.7,10.2,Invertivore
Heart-spotted Woodpecker,Hemicircus_canente,non-migrant,276.47,464.12,579.09,276.91,365.29,471.145,430.88,491.84,549.61,-98.83,126.55,-27.72,12.7,43,Invertivore
Brown-capped Pygmy Woodpecker,Yungipicus_nanus,non-migrant,640.59,749.32,800.74,509.603125,594.0425,640.59,589.17,640.59,640.59,-155.2775,46.5475,108.73,27.4,16.2,Invertivore
Yellow-crowned Woodpecker,Leiopicus_mahrattensis,non-migrant,640.59,718.64,834.755,558.03,636.24,692,640.59,686.555,728.42,-82.4,50.3150000000001,32.0849999999999,24.7,34.3,Invertivore
Greater Flameback,Chrysocolaptes_guttacristatus,non-migrant,755.76475,801.83,832.04,693.54,740.31,775.49,742.325,762.66,785.34,-61.52,22.35,39.17,22.3,166,Invertivore
White-naped Woodpecker,Chrysocolaptes_festivus,non-migrant,450.185,640.59,892.145,345.91,460.12,640.59,376.91,640.59,848.47,-180.47,180.47,0,26.1,213,Invertivore
Rufous Woodpecker,Micropternus_brachyurus,non-migrant,576.36,640.59,744.69,630.89,740.31,772.56,589.17,655.935,754.47,99.7199999999999,-84.375,-15.3449999999999,17.9,85.9,Invertivore
Common Flameback,Dinopium_javanense,non-migrant,829.21,888.74,965.91,870.14,902.78,960.335,830.085,888.275,932.35,14.04,-14.5049999999999,0.464999999999918,21,72.8,Invertivore
Black-rumped Flameback,Dinopium_benghalense,migrant,440.185,475.12,520.995,406.62,422.78,438.33,424.62,425.32,458.815,-52.34,2.54000000000002,49.8,20.7,100,Invertivore
Lesser Yellownape,Picus_chlorolophus,non-migrant,432.485,530.82,589.17,414.26,512.925,601.26,353.78,458.09,530.82,-17.8950000000001,-54.835,72.7300000000001,23.8,65.4,Invertivore
Streak-throated Woodpecker,Picus_xanthopygaeus,migrant,1108.76,1132.06,1134.19,1132.06,1132.06,1141.095,1079.67,1105.645,1131.61,0,-26.415,26.415,22.4,99.7,Invertivore
White-bellied Woodpecker,Dryocopus_javensis,non-migrant,639.11,727.965,796.34,647.09,681.97,810.26,710.455,816.445,846.485,-45.995,134.475,-88.4799999999999,22,271.4,Invertivore
Alexandrine Parakeet,Psittacula_eupatria,non-migrant,612.31,632.94,649.64,604.19,612.31,612.31,612.31,612.31,612.31,-20.6300000000001,0,20.6300000000001,53.4,214,Omnivore
Rose-ringed Parakeet,Psittacula_krameri,migrant,414.26,423.71,425.32,423.65,425.32,448.09,437.21,456.97,463.76,1.61000000000001,31.65,-33.2600000000001,47.7,116.1,Omnivore
Plum-headed Parakeet,Psittacula_cyanocephala,migrant,812.721625,836.55,855.66,747.215,788.165,835.84,728.42,746.94,765.225,-48.385,-41.2249999999999,89.6099999999999,50.8,66,Frugivore
Malabar Parakeet,Psittacula_columboides,non-migrant,817.14,830.34,842.075,811.38,832.34,846.03,836.17,848.97,856.18,2,16.63,-18.63,46.6,87,Omnivore
Vernal Hanging-Parrot,Loriculus_vernalis,non-migrant,770.94,799.64,808.65,776.21,799.015,810.914499999999,761.59,770.51,787.645,-0.624999999999886,-28.5050000000001,29.13,45.6,35.7,Frugivore
Small Minivet,Pericrocotus_cinnamomeus,non-migrant,640.795,685.84,718.64,640.59,640.59,654.29,640.59,640.59,675.68475,-45.25,0,45.25,25.9,8.6,Invertivore
Orange Minivet,Pericrocotus_flammeus,non-migrant,803.08,812.88,830.97,774.94,792.575,808.29,808.29,808.29,822.77,-20.305,15.7149999999999,4.59000000000003,27.2,23.3,Invertivore
Large Cuckooshrike,Coracina_macei,non-migrant,145.205,254.5,450.26,155.64,194.84,357.85,171.71,277.94,376.91,-59.66,83.1,-23.44,31,105,Invertivore
Black-headed Cuckooshrike,Lalage_melanoptera,migrant,482.49,586.56,640.59,600,640.59,643.35,485.7,549.8,589.17,54.0300000000001,-90.7900000000001,36.76,27,29.4,Invertivore
Black-naped Oriole,Oriolus_chinensis,non-migrant,89.58,119.12,196.375,124.5,188.91,753.17,160.15,181.74,375.38,69.79,-7.16999999999999,-62.62,29.1,82.6,Frugivore
Black-hooded Oriole,Oriolus_xanthornus,non-migrant,111.38,116.62,129.88,116.62,122.41,125.61,118.62,124.43,129.55,5.78999999999999,2.02000000000001,-7.81,27.4,56.3,Frugivore
Ashy Woodswallow,Artamus_fuscus,migrant,488.44,580.18,703.76,447.11,504.53,594.26,330.44,420.78,424.62,-75.65,-83.75,159.4,48.4,39.8,Invertivore
Malabar Woodshrike,Tephrodornis_sylvicola,non-migrant,478.36,531.74,654.04,509.69,589.17,650.62,589.17,645.815,723.8965,57.43,56.6450000000001,-114.075,17.3,37.8,Invertivore
Common Woodshrike,Tephrodornis_pondicerianus,non-migrant,371.76,460.12,485.7,258.41,287.63,431.76,320.91,409.41,458.815,-172.49,121.78,50.71,17.3,20.2,Invertivore
Bar-winged Flycatcher-shrike,Hemipus_picatus,non-migrant,882.945,917.14,993.66,867.78,893.48,945.79,865.68,880.15,914.055,-23.66,-13.33,36.99,15.3,9,Invertivore
Common Iora,Aegithina_tiphia,non-migrant,640.59,641.43,674.11,640.59,640.59,640.59,637.28,640.59,640.59,-0.839999999999918,0,0.839999999999918,10,12,Invertivore
White-tailed Iora,Aegithina_nigrolutea,migrant,267.09,271.09,375.7,258.41,258.41,258.41,258.41,258.41,262.75,-12.68,0,12.68,12.4,11.8,Invertivore
Spot-breasted Fantail,Rhipidura_albogularis,migrant,945.32,945.32,945.32,728.42,817.38,885.91,728.42,769.88,789.94,-127.94,-47.5,175.44,16.2,12.9,Invertivore
White-browed Fantail,Rhipidura_aureola,non-migrant,833.54,944.94,956.47,703.65,822.38,934.61,774.165,892.14,920.43,-122.56,69.76,52.8000000000001,21.2,11.2,Invertivore
Black Drongo,Dicrurus_macrocercus,migrant,408.88,422.11,426.16,413.15,424.62,433.59,462,463.76,463.76,2.50999999999999,39.14,-41.65,27.8,48.3,Invertivore
Ashy Drongo,Dicrurus_leucophaeus,migrant,681.11,728.42,759.86,599.39,681.11,789.8,803.94,808.29,808.29,-47.31,127.18,-79.87,31.5,37.6,Invertivore
White-bellied Drongo,Dicrurus_caerulescens,non-migrant,640.59,681.11,703.65,590.25,617.25,640.59,640.59,640.59,640.59,-63.86,23.34,40.52,27,40,Invertivore
Bronzed Drongo,Dicrurus_aeneus,non-migrant,397.51,480.76,570.14,332.895,406.38,458.795,415.89,462,483.38,-74.38,55.62,18.76,29.4,26,Invertivore
Hair-crested Drongo,Dicrurus_hottentottus,non-migrant,517.145,647.09,819.325,443.195,572.785,835.65,460.12,612.84,834.825,-74.305,40.0549999999998,34.2500000000001,23.3,79.2,Invertivore
Greater Racket-tailed Drongo,Dicrurus_paradiseus,migrant,589.17,635.8225,674.657125,415.08,462.31,504.71,542.76,565.3,589.17,-173.5125,102.99,70.5225,21.8,85.8,Invertivore
Black-naped Monarch,Hypothymis_azurea,non-migrant,617.88,662.345,681.11,617.25,635.58,681.11,589.17,589.17,634.85,-26.765,-46.4100000000001,73.1750000000001,16,11.1,Invertivore
Indian Paradise-Flycatcher,Terpsiphone_paradisi,non-migrant,570.94,589.17,613.39,570.14,589.17,617.25,541.06,572.44,589.17,0,-16.7299999999999,16.7299999999999,20.1,19.2,Invertivore
Bay-backed Shrike,Lanius_vittatus,migrant,620.24,703.65,759.64,635.56,703.65,703.65,602.03,617.25,635.34,0,-86.4,86.4,23.8,20.8,Invertivore
Long-tailed Shrike,Lanius_schach,migrant,1019.72,1059.18,1087.09,945.32,978.38,1057.97,848.97,860.6,893.225,-80.8000000000001,-117.78,198.58,20.3,51.5,Invertivore
Rufous Treepie,Dendrocitta_vagabunda,migrant,318.03,370.925,391.09,269.47,291.94,318.03,339.2,375.38,390.455,-78.985,83.44,-4.45500000000004,15,100,Omnivore
White-bellied Treepie,Dendrocitta_leucogastra,migrant,830.97,859.06,876.03,677,760.86,819.525,880.44,885.49,894.795,-98.1999999999999,124.63,-26.4300000000001,13.5,99.2,Omnivore
House Crow,Corvus_splendens,migrant,407,413.15,423.310125,401.59,406.62,408.41,410.81,417.285,424.62,-6.52999999999997,10.665,-4.13499999999999,36.3,292.6,Omnivore
Large-billed Crow,Corvus_macrorhynchos,migrant,809,818.015,836.5,617.25,636.45,640.59,750.29,765,775.09,-181.565,128.55,53.015,34.8,513.1,Omnivore
Gray-headed Canary-Flycatcher,Culicicapa_ceylonensis,non-migrant,1625.41,1746.86,1814.7,1609.015,1647.06,1714.41,1559.52,1605.16,1660.15,-99.8,-41.8999999999999,141.7,18.9,7.7,Invertivore
Cinereous Tit,Parus_cinereus,migrant,907.45,939.25,952.18,769.88,818.97,858.92,815.16,839.84,871.03,-120.28,20.87,99.41,18.1,14.4,Invertivore
White-naped Tit,Machlolophus_nuchalis,non-migrant,258.41,258.41,485.7,258.41,258.41,258.41,258.41,271.205,384.85,0,12.795,-12.795,14,13.8,Invertivore
Indian Yellow Tit,Machlolophus_aplonotus,migrant,874.63,902.295,913.11,848.97,860.6,873.79,856.18,866.06,873.79,-41.6950000000001,5.45999999999992,36.2350000000001,18.1,14.8,Invertivore
Rufous-tailed Lark,Ammomanes_phoenicura,non-migrant,651,703.65,705.54,703.65,703.65,817.38,692,703.65,703.65,0,0,0,28,25.6,Omnivore
Ashy-crowned Sparrow-Lark,Eremopterix_griseus,non-migrant,370.71,501.53,613.97,526.14,667.44,703.65,606.68,619,635.5,165.91,-48.4400000000001,-117.47,29.5,16,Granivore
Jerdon's Bushlark,Mirafra_affinis,non-migrant,463.76,474,485.7,471.56,474,487.5,463.76,463.76,471.56,0,-10.24,10.24,18.4,26.2,Omnivore
Oriental Skylark,Alauda_gulgula,non-migrant,337.54,436.32,463.76,375.26,528.25,703.65,405.42,463.76,463.76,91.93,-64.49,-27.44,27.5,26.3,Omnivore
Malabar Lark,Galerida_malabarica,non-migrant,685.71,801.91,955.78,792.865,974.045,1136.23,671.41,711.625,805.94,172.135,-262.42,90.285,29.2,38.2,Omnivore
Common Tailorbird,Orthotomus_sutorius,migrant,684.755,717.505,734.26,588.71,611.94,622.82,592.11,612.31,629.59175,-105.565,0.369999999999891,105.195,10.4,7.5,Invertivore
Gray-breasted Prinia,Prinia_hodgsonii,migrant,931.88,952.31,1017,734.97,758.23,769.88,714.22,728.42,750.65,-194.08,-29.8100000000001,223.89,10.7,6.4,Invertivore
Jungle Prinia,Prinia_sylvatica,non-migrant,484.095,516.07,614.78,507.97,536.47,617.25,579.34275,617.25,640.59,20.4000000000001,80.78,-101.18,10.4,16.1,Invertivore
Ashy Prinia,Prinia_socialis,migrant,672.47,703.65,728.42,587.53,590.46,611.685,616.77,619.145,636.75,-113.19,28.6849999999999,84.505,10.3,8,Invertivore
Plain Prinia,Prinia_inornata,non-migrant,577,617.25,640.59,492.61,588.71,617.25,483.38,548.89,606.39,-28.54,-39.8200000000001,68.36,14.2,7,Invertivore
Golden-headed Cisticola,Cisticola_exilis,non-migrant,988.51,1216.62,1365.84,988.51,988.51,1087.06,959.5,989.94,1096.12,-228.11,1.43000000000006,226.68,16.4,7,Invertivore
Clamorous Reed Warbler,Acrocephalus_stentoreus,non-migrant,406.62,550.12,619,56.435,526.14,598.075,577,589.41,619,-23.98,63.27,-39.29,22.6,24.2,Invertivore
Broad-tailed Grassbird,Schoenicola_platyurus,non-migrant,1272.04,1599.565,1888.18,1289,1289,1413.085,902.195,1000.27,2059.18,-310.565,-288.73,599.295,17,20,Invertivore
Flame-throated Bulbul,Rubigula_gularis,non-migrant,276.47,306.85,447.47,365.29,439.28,478.91,311.33,351.88,384.705,132.43,-87.4,-45.03,11.9,29.3,Frugivore
Red-vented Bulbul,Pycnonotus_cafer,non-migrant,640.59,641.43,663.72,640.59,640.59,640.59,623.92,635.21,640.59,-0.839999999999918,-5.38,6.21999999999991,16.5,42.9,Omnivore
Red-whiskered Bulbul,Pycnonotus_jocosus,migrant,907.45,915.28,923.44,848.97,848.97,848.97,832,839.75,848.97,-66.31,-9.22000000000003,75.53,14.2,29.5,Omnivore
Yellow-throated Bulbul,Pycnonotus_xantholaemus,non-migrant,681.11,681.11,776.88,681.11,757.545,839.65,741.48,776.88,839.65,76.4350000000001,19.3349999999999,-95.77,13.3,28.1,Frugivore
White-browed Bulbul,Pycnonotus_luteolus,migrant,613.39,640.59,640.59,558.03,600.355,617.25,525.435,564.345,592.11,-40.235,-36.01,76.245,11.2,34.7,Frugivore
Yellow-eyed Babbler,Chrysomma_sinense,non-migrant,612.31,640.59,640.59,617.25,640.59,640.59,619,640.59,640.59,0,0,0,9.6,17.2,Invertivore
Indian White-eye,Zosterops_palpebrosus,migrant,1168.22,1171.76,1179.15,1130.505,1134.19,1161.48,1103.59,1125.03,1134.19,-37.5699999999999,-9.16000000000008,46.73,20.7,8.6,Omnivore
