common_name,scientific_name,s_lci,s_med,s_uci,m_lci,m_med,m_uci,w_lci,w_med,w_uci,s_m_mig,m_w_mig,w_s_mig,migrant
Rock Pigeon,Columba livia,477.97,503.31,534.08,478.67,492.27,526.14,512.56,527.54,574.69,-11.04,35.27,-24.23,non-migrant
Nilgiri Wood-Pigeon,Columba elphinstonii,1559.52,1576.21,1691.19,1553.18,1701.335,1814.7,1466.765,1526.97,1559.43,125.125,-174.365,49.24,migrant
Eurasian Collared-Dove,Streptopelia decaocto,385.32,406.62,408.88,413.94,424.62,475.1,424.62,424.62,470.04,18,0,-18,migrant
Spotted Dove,Spilopelia chinensis,908.835,927.99,941.25,839.65,848.97,848.97,764.17,776.88,797.9,-79.02,-72.09,151.11,migrant
Laughing Dove,Spilopelia senegalensis,620.64,640.59,663.6,617.25,635.86,645.03,617.25,619,636.67,-4.73000000000002,-16.86,21.59,non-migrant
Asian Emerald Dove,Chalcophaps indica,602.965125,658.69,731.035,412.025,494.79,560.995,622.82025,689.175,766.955,-163.9,194.385,-30.4849999999999,migrant
Gray-fronted Green-Pigeon,Treron affinis,590.28,670.88,747.17,588.83,640.59,711.59,589.17,609.32,648.73,-30.29,-31.27,61.56,non-migrant
Yellow-footed Green-Pigeon,Treron phoenicopterus,640.59,640.59,663.581374999997,640.59,703.65,848.97,640.59,640.59,640.59,63.06,-63.06,0,non-migrant
Green Imperial-Pigeon,Ducula aenea,231.955,439.28,489,425.38,460.12,527.185,69.83,94.84,157.835,20.84,-365.28,344.44,migrant
Greater Coucal,Centropus sinensis,640.59,641.01,675.39,573.495,589.17,612.31,589.17,605.14,619,-51.84,15.97,35.87,migrant
Lesser Coucal,Centropus bengalensis,918.37,933.69,988.51,149,641.62,988.51,124.32,929.73,1063.765,-292.07,288.11,3.96000000000004,non-migrant
Sirkeer Malkoha,Taccocua leschenaultii,462.770375,643.44,747.76,570.68,617.25,699.455,474,617.25,641.12,-26.1900000000001,0,26.1900000000001,non-migrant
Blue-faced Malkoha,Phaenicophaeus viridirostris,472.44,576.09,617.25,441.54,471.56,515.845,484.935,549.2,594.32,-104.53,77.6400000000001,26.89,non-migrant
Asian Koel,Eudynamys scolopaceus,424.62,428.9,463.54,424.62,433.25,454.62,399.34,406.62,409.425,4.35000000000002,-26.63,22.28,migrant
Banded Bay Cuckoo,Cacomantis sonneratii,168.71,306,525.435,109.46,116.62,136.88,121.427125,133.71,160.53,-189.38,17.09,172.29,migrant
Gray-bellied Cuckoo,Cacomantis passerinus,637.72,681.11,749.63,640.59,643.11,712.91,508.815,631.95,640.59,-38,-11.16,49.16,non-migrant
Fork-tailed Drongo-Cuckoo,Surniculus dicruroides,148.61,589.17,763.92,135.355,383.875,625.45,122.18,169.12,375.38,-205.295,-214.755,420.05,non-migrant
Common Hawk-Cuckoo,Hierococcyx varius,463.76,471.56,523.5,399.06,433.74,463.76,463.76,484.955,537.465,-37.82,51.215,-13.395,non-migrant
Indian Cuckoo,Cuculus micropterus,206.16,463.76,567,390.23,592.74,592.74,94.675,112.76,176.245,128.98,-479.98,351,migrant
Malabar Trogon,Harpactes fasciatus,344.005,542.365,622.53,382.22,447.325,505.265,415.89,495.015,571.95,-95.04,47.6899999999999,47.35,non-migrant
Indian Gray Hornbill,Ocyceros birostris,526.14,587.53,589.17,537.94,586.82,588.71,405.69,521.81,577,-0.710000000000036,-65.01,65.72,non-migrant
Malabar Gray Hornbill,Ocyceros griseus,685.745,745.19,762.62,693.54,736.18,765.66,600.69,644.55,689.03,-9.0100000000001,-91.63,100.64,migrant
Malabar Pied-Hornbill,Anthracoceros coronatus,129.88,180.21,288.63,82.88,122.2,176.11,107.91,129.88,176.11,-58.01,7.67999999999999,50.33,non-migrant
Blue-bearded Bee-eater,Nyctyornis athertoni,768.24,874.235,917.82,524.26,606.38,647.11,593.23,640.59,640.59,-267.855,34.21,233.645,migrant
Asian Green Bee-eater,Merops orientalis,540.17,580.18,589.17,526.14,539.425,577,536.2,564.03,577,-40.755,24.605,16.15,non-migrant
Chestnut-headed Bee-eater,Merops leschenaulti,950.94,1008.14,1017,554.24,600,711.59,808.29,822.77,846.5,-408.14,222.77,185.37,migrant
Indian Roller,Coracias benghalensis,427.485,437.21,469.315,407.12,413.94,424.62,408.41,420.78,424.62,-23.27,6.83999999999998,16.43,migrant
Malabar Barbet,Psilopogon malabaricus,876.03,895.25,907.45,861.86,870.56,873.79,856.88,861.62,869.65,-24.6900000000001,-8.93999999999994,33.63,migrant
Coppersmith Barbet,Psilopogon haemacephalus,619.465,640.59,640.59,588.71,609.37,617.25,570.03,587.48,589.17,-31.22,-21.89,53.11,migrant
Brown-headed Barbet,Psilopogon zeylanicus,463.76,463.76,471.56,457.27,463.76,471.56,347.6,399.905,449.485,0,-63.855,63.855,migrant
White-cheeked Barbet,Psilopogon viridis,851.89,860.6,872.21,767.88,786.09,808.29,808.29,808.29,814.65,-74.51,22.1999999999999,52.3100000000001,migrant
Speckled Piculet,Picumnus innominatus,811.575,868.2,984.446749999995,767.55,882.56,1017,834.57,931.06,1024.09,14.3599999999999,48.5,-62.8599999999999,non-migrant
Heart-spotted Woodpecker,Hemicircus canente,276.47,464.12,579.09,276.91,365.29,471.145,430.88,491.84,549.61,-98.83,126.55,-27.72,non-migrant
Brown-capped Pygmy Woodpecker,Yungipicus nanus,640.59,749.32,800.74,509.603125,594.0425,640.59,589.17,640.59,640.59,-155.2775,46.5475,108.73,non-migrant
Yellow-crowned Woodpecker,Leiopicus mahrattensis,640.59,718.64,834.755,558.03,636.24,692,640.59,686.555,728.42,-82.4,50.3150000000001,32.0849999999999,non-migrant
Greater Flameback,Chrysocolaptes guttacristatus,755.76475,801.83,832.04,693.54,740.31,775.49,742.325,762.66,785.34,-61.52,22.35,39.17,non-migrant
White-naped Woodpecker,Chrysocolaptes festivus,450.185,640.59,892.145,345.91,460.12,640.59,376.91,640.59,848.47,-180.47,180.47,0,non-migrant
Rufous Woodpecker,Micropternus brachyurus,576.36,640.59,744.69,630.89,740.31,772.56,589.17,655.935,754.47,99.7199999999999,-84.375,-15.3449999999999,non-migrant
Common Flameback,Dinopium javanense,829.21,888.74,965.91,870.14,902.78,960.335,830.085,888.275,932.35,14.04,-14.5049999999999,0.464999999999918,non-migrant
Black-rumped Flameback,Dinopium benghalense,440.185,475.12,520.995,406.62,422.78,438.33,424.62,425.32,458.815,-52.34,2.54000000000002,49.8,migrant
Lesser Yellownape,Picus chlorolophus,432.485,530.82,589.17,414.26,512.925,601.26,353.78,458.09,530.82,-17.8950000000001,-54.835,72.7300000000001,non-migrant
Streak-throated Woodpecker,Picus xanthopygaeus,1108.76,1132.06,1134.19,1132.06,1132.06,1141.095,1079.67,1105.645,1131.61,0,-26.415,26.415,migrant
White-bellied Woodpecker,Dryocopus javensis,639.11,727.965,796.34,647.09,681.97,810.26,710.455,816.445,846.485,-45.995,134.475,-88.4799999999999,non-migrant
Alexandrine Parakeet,Psittacula eupatria,612.31,632.94,649.64,604.19,612.31,612.31,612.31,612.31,612.31,-20.6300000000001,0,20.6300000000001,non-migrant
Rose-ringed Parakeet,Psittacula krameri,414.26,423.71,425.32,423.65,425.32,448.09,437.21,456.97,463.76,1.61000000000001,31.65,-33.2600000000001,migrant
Plum-headed Parakeet,Psittacula cyanocephala,812.721625,836.55,855.66,747.215,788.165,835.84,728.42,746.94,765.225,-48.385,-41.2249999999999,89.6099999999999,migrant
Malabar Parakeet,Psittacula columboides,817.14,830.34,842.075,811.38,832.34,846.03,836.17,848.97,856.18,2,16.63,-18.63,non-migrant
Vernal Hanging-Parrot,Loriculus vernalis,770.94,799.64,808.65,776.21,799.015,810.914499999999,761.59,770.51,787.645,-0.624999999999886,-28.5050000000001,29.13,non-migrant
Small Minivet,Pericrocotus cinnamomeus,640.795,685.84,718.64,640.59,640.59,654.29,640.59,640.59,675.68475,-45.25,0,45.25,non-migrant
Orange Minivet,Pericrocotus flammeus,803.08,812.88,830.97,774.94,792.575,808.29,808.29,808.29,822.77,-20.305,15.7149999999999,4.59000000000003,non-migrant
Large Cuckooshrike,Coracina macei,145.205,254.5,450.26,155.64,194.84,357.85,171.71,277.94,376.91,-59.66,83.1,-23.44,non-migrant
Black-headed Cuckooshrike,Lalage melanoptera,482.49,586.56,640.59,600,640.59,643.35,485.7,549.8,589.17,54.0300000000001,-90.7900000000001,36.76,migrant
Black-naped Oriole,Oriolus chinensis,89.58,119.12,196.375,124.5,188.91,753.17,160.15,181.74,375.38,69.79,-7.16999999999999,-62.62,non-migrant
Black-hooded Oriole,Oriolus xanthornus,111.38,116.62,129.88,116.62,122.41,125.61,118.62,124.43,129.55,5.78999999999999,2.02000000000001,-7.81,non-migrant
Ashy Woodswallow,Artamus fuscus,488.44,580.18,703.76,447.11,504.53,594.26,330.44,420.78,424.62,-75.65,-83.75,159.4,migrant
Malabar Woodshrike,Tephrodornis sylvicola,478.36,531.74,654.04,509.69,589.17,650.62,589.17,645.815,723.8965,57.43,56.6450000000001,-114.075,non-migrant
Common Woodshrike,Tephrodornis pondicerianus,371.76,460.12,485.7,258.41,287.63,431.76,320.91,409.41,458.815,-172.49,121.78,50.71,non-migrant
Bar-winged Flycatcher-shrike,Hemipus picatus,882.945,917.14,993.66,867.78,893.48,945.79,865.68,880.15,914.055,-23.66,-13.33,36.99,non-migrant
Common Iora,Aegithina tiphia,640.59,641.43,674.11,640.59,640.59,640.59,637.28,640.59,640.59,-0.839999999999918,0,0.839999999999918,non-migrant
White-tailed Iora,Aegithina nigrolutea,267.09,271.09,375.7,258.41,258.41,258.41,258.41,258.41,262.75,-12.68,0,12.68,migrant
Spot-breasted Fantail,Rhipidura albogularis,945.32,945.32,945.32,728.42,817.38,885.91,728.42,769.88,789.94,-127.94,-47.5,175.44,migrant
White-browed Fantail,Rhipidura aureola,833.54,944.94,956.47,703.65,822.38,934.61,774.165,892.14,920.43,-122.56,69.76,52.8000000000001,non-migrant
Black Drongo,Dicrurus macrocercus,408.88,422.11,426.16,413.15,424.62,433.59,462,463.76,463.76,2.50999999999999,39.14,-41.65,migrant
Ashy Drongo,Dicrurus leucophaeus,681.11,728.42,759.86,599.39,681.11,789.8,803.94,808.29,808.29,-47.31,127.18,-79.87,migrant
