season,common_name,2.5%,50%,97.5%
monsoon,Jerdon's Leafbird,471.56,522.03,560.485
winter,Jerdon's Leafbird,482.49,536.47,570.14
summer,Jerdon's Leafbird,474,526.82,590.28
monsoon,White-bellied Treepie,677,760.86,819.525
winter,White-bellied Treepie,880.44,885.49,894.795
summer,White-bellied Treepie,830.97,859.06,876.03
monsoon,Rufous Treepie,269.47,291.94,318.03
winter,Rufous Treepie,339.2,375.38,390.455
summer,Rufous Treepie,318.03,370.925,391.09
monsoon,Bronzed Drongo,332.895,406.38,458.795
winter,Bronzed Drongo,415.89,462,483.38
summer,Bronzed Drongo,397.51,480.76,570.14
monsoon,Ashy Drongo,599.39,681.11,789.8
winter,Ashy Drongo,803.94,808.29,808.29
summer,Ashy Drongo,681.11,728.42,759.86
monsoon,Greater Racket-tailed Drongo,415.08,462.31,504.71
winter,Greater Racket-tailed Drongo,542.76,565.3,589.17
summer,Greater Racket-tailed Drongo,589.17,635.8225,674.657125
monsoon,Black-rumped Flameback,406.62,422.78,438.33
winter,Black-rumped Flameback,424.62,425.32,458.815
summer,Black-rumped Flameback,440.185,475.12,520.995
monsoon,Southern Hill Myna,848.97,850.47,862.575
winter,Southern Hill Myna,837.085,848.97,856.18
summer,Southern Hill Myna,829.12,836.5,850.52
monsoon,Heart-spotted Woodpecker,276.91,365.29,471.145
winter,Heart-spotted Woodpecker,430.88,491.84,549.61
summer,Heart-spotted Woodpecker,276.47,464.12,579.09
monsoon,Malabar Barbet,861.86,870.56,873.79
winter,Malabar Barbet,856.88,861.62,869.65
summer,Malabar Barbet,876.03,895.25,907.45
monsoon,White-cheeked Barbet,767.88,786.09,808.29
winter,White-cheeked Barbet,808.29,808.29,814.65
summer,White-cheeked Barbet,851.89,860.6,872.21
monsoon,Malabar Parakeet,811.38,832.34,846.03
winter,Malabar Parakeet,836.17,848.97,856.18
summer,Malabar Parakeet,817.14,830.34,842.075
monsoon,Velvet-fronted Nuthatch,902.59,935.44,963.18
winter,Velvet-fronted Nuthatch,906.15,922.85,940
summer,Velvet-fronted Nuthatch,935.44,970.05,1017
monsoon,Spotted Dove,839.65,848.97,848.97
winter,Spotted Dove,764.17,776.88,797.9
summer,Spotted Dove,908.835,927.99,941.25
monsoon,Brown-capped Pygmy Woodpecker,509.603125,594.0425,640.59
winter,Brown-capped Pygmy Woodpecker,589.17,640.59,640.59
summer,Brown-capped Pygmy Woodpecker,640.59,749.32,800.74
monsoon,Oriental Magpie-Robin,726.71,734.97,749.66
winter,Oriental Magpie-Robin,728.42,731.535,748.12
summer,Oriental Magpie-Robin,808.29,826.38,846.65
monsoon,Large-billed Crow,617.25,636.45,640.59
winter,Large-billed Crow,750.29,765,775.09
summer,Large-billed Crow,809,818.015,836.5
monsoon,House Crow,401.59,406.62,408.41
winter,House Crow,410.81,417.285,424.62
summer,House Crow,407,413.15,423.310125
monsoon,White-bellied Blue Flycatcher,589.17,642.19,765.41
winter,White-bellied Blue Flycatcher,589.17,589.17,589.17
summer,White-bellied Blue Flycatcher,633.4,761.23,823.83
monsoon,Black-naped Monarch,617.25,635.58,681.11
winter,Black-naped Monarch,589.17,589.17,634.85
summer,Black-naped Monarch,617.88,662.345,681.11
monsoon,Lesser Yellownape,414.26,512.925,601.26
winter,Lesser Yellownape,353.78,458.09,530.82
summer,Lesser Yellownape,432.485,530.82,589.17
monsoon,Jungle Babbler,318.03,372.76,421.38
winter,Jungle Babbler,462,519.24,553
summer,Jungle Babbler,568.645,619.11,654.29
monsoon,Asian Emerald Dove,412.025,494.79,560.995
winter,Asian Emerald Dove,622.82025,689.175,766.955
summer,Asian Emerald Dove,602.965125,658.69,731.035
monsoon,Common Flameback,870.14,902.78,960.335
winter,Common Flameback,830.085,888.275,932.35
summer,Common Flameback,829.21,888.74,965.91
monsoon,Malabar Whistling-Thrush,1057.85,1067.85,1081.19
winter,Malabar Whistling-Thrush,961.596,986.62,997.26
summer,Malabar Whistling-Thrush,1075.41,1085.57,1088.92
monsoon,Orange Minivet,774.94,792.575,808.29
winter,Orange Minivet,808.29,808.29,822.77
summer,Orange Minivet,803.08,812.88,830.97
monsoon,Red-whiskered Bulbul,848.97,848.97,848.97
winter,Red-whiskered Bulbul,832,839.75,848.97
summer,Red-whiskered Bulbul,907.45,915.28,923.44
