"(Intercept)","diet","hwi","mass","precip_breadth","precip_med","temp_breadth","temp_med","wind_breadth","wind_med","df","logLik","AICc","delta","weight","r_sq","season"
"72.175","-","-","-","-","15.198","13.956","-","-","-","3","-966.416","1938.982","0","0.045","0.065","summer"
"73.419","-","-","-","-","15.668","13.698","-","8.82","-","4","-965.614","1939.48","0.497","0.035","0.074","summer"
"77.8","-","-","-","-","19.738","16.329","-","-","11.6","4","-965.639","1939.529","0.547","0.035","0.076","summer"
"67.254","-","-","7.329","-","15.134","13.49","-","-","-","4","-966.136","1940.524","1.541","0.021","0.068","summer"
"67.268","-","7.745","-","-","15.491","13.366","-","-","-","4","-966.164","1940.58","1.598","0.02","0.068","summer"
"67.632","-","-","8.711","-","15.621","13.115","-","9.443","-","5","-965.219","1940.818","1.836","0.018","0.078","summer"
"77.574","-","-","-","-","11.89","15.169","-7.816","-","-","4","-966.284","1940.819","1.837","0.018","0.069","summer"
"73.101","-","8.327","-","-","20.578","15.516","-","-","12.53","5","-965.222","1940.823","1.841","0.018","0.081","summer"
"71.006","-","-","-","10.041","26.491","9.285","-","-","23.852","5","-922.934","1856.247","0","0.057","0.168","monsoon"
"71.006","-","-","-","8.941","34.376","11.471","11.526","-","30.794","6","-921.891","1856.317","0.07","0.055","0.178","monsoon"
"71.006","-","-","-","-","36.891","11.524","13.048","-","28.486","5","-923.009","1856.398","0.151","0.052","0.167","monsoon"
"71.006","-","-","-","-","28.173","9.016","-","-","20.17","4","-924.346","1856.944","0.697","0.04","0.153","monsoon"
"71.006","-","-","-","9.728","26.487","-","-","-","24.713","4","-924.453","1857.157","0.91","0.036","0.152","monsoon"
"71.006","-","-","-","-","42.26","13.077","17.477","-8.883","38.508","6","-922.554","1857.643","1.396","0.028","0.171","monsoon"
"71.006","-","-","-","-","28.119","-","-","-","21.119","3","-925.756","1857.663","1.416","0.028","0.138","monsoon"
"71.006","-","4.668","-","9.911","27.363","8.896","-","-","25.036","6","-922.567","1857.669","1.422","0.028","0.171","monsoon"
"71.006","-","-","-","8.439","39.065","12.789","15.363","-7.523","39.154","7","-921.564","1857.846","1.599","0.025","0.181","monsoon"
"71.006","-","3.7","-","8.906","34.58","11.028","10.813","-","31.304","7","-921.662","1858.042","1.795","0.023","0.18","monsoon"
"71.006","-","3.771","-","-","37.088","11.072","12.315","-","29.014","6","-922.774","1858.084","1.836","0.023","0.169","monsoon"
"64.221","-","10.457","9.988","12.612","20.495","-","-","-","24.008","6","-935.922","1884.379","0","0.045","0.129","winter"
"64.221","-","9.806","9.963","12.884","20.375","7.497","-","-","23.148","7","-935.071","1884.859","0.48","0.036","0.138","winter"
"64.221","-","12.803","-","13.611","20.527","-","-","-","23.265","5","-937.31","1885","0.62","0.033","0.115","winter"
"64.221","-","-","12.379","12.621","18.638","-","-","-","21.751","5","-937.402","1885.183","0.804","0.03","0.114","winter"
"64.221","-","-","12.187","12.921","18.633","8.263","-","-","20.959","6","-936.378","1885.29","0.911","0.029","0.125","winter"
"64.221","-","12.144","-","13.881","20.406","7.529","-","-","22.404","6","-936.466","1885.467","1.087","0.026","0.124","winter"
"64.221","-","10.909","10.113","13.266","16.028","-","-6.66","-","20.006","7","-935.606","1885.929","1.55","0.021","0.133","winter"
"64.221","-","10.467","11.064","-","22.636","-","-","-","19.535","5","-937.803","1885.986","1.607","0.02","0.109","winter"
"64.221","-","10.704","9.809","12.537","21.698","-","-","-4.247","27.49","7","-935.803","1886.323","1.944","0.017","0.131","winter"
